"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","goalmins","n","shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","F1",2024-01-28,"Montpellier","Lille",0,0,"D",0,0,"D",3.93,3.59,1.99,"0-0","0-0",12,7,12,0,4,3,0,1,5,2,13,16,0,7,29,"5-2","N","N","N",7,1,"Montpellier-Lille",0,0,0,95,2200,0,665,0,0,0,0,0,0
"2","F1",2024-02-04,"Lille","Clermont",4,0,"H",4,0,"H",1.42,4.81,7.95,"4-0","4-0",23,13,4,3,0,1,0,0,12,1,8,10,4,13,18,"12-1","Y","Y","Y",1,0,"Lille-Clermont",112,4,62,10,0,40,130,620,52,248,806,1456,520
"3","F1",2024-02-10,"Paris SG","Lille",3,1,"H",2,1,"H",1.63,4.28,5.3,"2-1","3-1",16,8,10,3,2,3,0,0,6,8,12,10,4,14,22,"6-8","Y","Y","Y",5,0,"Paris SG-Lille",113,4,48,50,600,200,700,2400,56,192,672,1582,2800
"4","F1",2024-02-17,"Lille","Le Havre",3,0,"H",2,0,"H",1.52,4.18,7.01,"2-0","3-0",17,8,6,2,2,3,0,0,1,3,11,17,3,4,28,"1-3","Y","Y","N",5,0,"Lille-Le Havre",107,3,27,50,600,150,200,1350,12,81,108,428,600
"5","F1",2024-02-25,"Toulouse","Lille",3,1,"H",0,1,"A",4.07,3.62,1.95,"0-1","3-1",14,4,12,2,2,0,0,0,6,8,20,10,4,14,30,"6-8","Y","Y","Y",2,0,"Toulouse-Lille",221,4,37,20,0,80,280,740,56,148,518,3094,1120
"6","F1",2024-03-02,"Reims","Lille",0,1,"A",0,0,"D",2.78,3.33,2.69,"0-0","0-1",8,3,8,3,3,2,0,0,4,4,12,14,1,8,26,"4-4","N","N","N",5,0,"Reims-Lille",56,1,9,50,600,50,400,450,8,9,72,448,400
"7","F1",2024-01-26,"Lyon","Rennes",2,3,"A",0,3,"A",2.56,3.35,2.91,"0-3","2-3",12,6,11,5,2,2,0,0,3,2,15,12,5,5,27,"3-2","Y","Y","Y",4,0,"Lyon-Rennes",234,5,78,40,400,200,200,3120,25,390,390,1170,1000
"8","F1",2024-02-03,"Rennes","Montpellier",2,1,"H",1,0,"H",1.63,4.09,5.56,"1-0","2-1",9,3,17,9,4,3,0,0,5,3,17,12,3,8,29,"5-3","Y","Y","N",7,0,"Rennes-Montpellier",124,3,27,70,1200,210,560,1890,24,81,216,992,1680
"9","F1",2024-02-11,"Le Havre","Rennes",0,1,"A",0,0,"D",3.66,3.38,2.15,"0-0","0-1",13,5,11,2,2,1,0,0,5,1,14,7,1,6,21,"5-1","N","N","N",3,0,"Le Havre-Rennes",60,1,14,30,200,30,180,420,6,14,84,360,180
"10","F1",2024-02-18,"Rennes","Clermont",3,1,"H",1,0,"H",1.52,4.41,6.44,"1-0","3-1",16,8,14,5,1,0,0,1,4,4,9,10,4,8,19,"4-4","Y","Y","Y",1,1,"Rennes-Clermont",215,4,41,35,250,140,280,1435,32,164,328,1720,1120
"11","F1",2024-02-25,"Paris SG","Rennes",1,1,"D",0,1,"A",1.47,4.65,6.94,"0-1","1-1",15,3,3,1,5,3,0,0,4,0,13,16,2,4,29,"4-0","Y","N","N",8,0,"Paris SG-Rennes",123,2,19,80,1500,160,320,1520,8,38,76,492,640
"12","F1",2024-03-03,"Rennes","Lorient",1,2,"A",0,0,"D",1.45,4.59,7.78,"0-0","1-2",22,6,12,6,1,2,0,0,6,3,12,9,3,9,21,"6-3","Y","Y","N",3,0,"Rennes-Lorient",239,3,41,30,200,90,270,1230,27,123,369,2151,810
"13","F1",2024-03-03,"Rennes","Lorient",1,2,"A",0,0,"D",1.45,4.59,7.78,"0-0","1-2",22,6,12,6,1,2,0,0,6,3,12,9,3,9,21,"6-3","Y","Y","N",3,0,"Rennes-Lorient",133.666666666667,2.83333333333333,33.5833333333333,46.6666666666667,645.833333333333,112.5,348.75,1264.58333333333,25.5,124,303.25,1157.75,905.833333333333
