"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"2113","B1",2021-08-01,"Gent","Beerschot VA",2,2,"D",1,0,"H",1.41,4.88,7.71,"1-0","2-2",24,5,11,7,1,0,0,0,4,"Y","Y","Y",1,0,-1,-1,"-1,-1",0
"2129","B1",2021-08-15,"Beerschot VA","Standard",0,1,"A",0,0,"D",3.63,3.73,2.02,"0-0","0-1",14,4,8,1,2,1,0,0,1,"N","N","N",3,0,-3,-3,"-3,-3",0
"2130","B1",2021-08-15,"Gent","Mechelen",2,0,"H",1,0,"H",1.82,3.66,4.58,"1-0","2-0",20,8,6,3,2,2,0,0,2,"Y","N","N",4,0,-1,-2,"-1,-2",1
"2134","B1",2021-08-21,"Seraing","Cercle Brugge",2,1,"H",0,1,"A",2.92,3.48,2.45,"0-1","2-1",10,5,9,5,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"2136","B1",2021-08-21,"St Truiden","Kortrijk",0,2,"A",0,1,"A",2.76,3.08,2.84,"0-1","0-2",24,4,11,2,3,3,0,0,2,"Y","N","N",6,0,-1,-2,"-1,-2",1
"2140","B1",2021-08-27,"Kortrijk","Mechelen",2,2,"D",0,2,"A",2.48,3.35,3.02,"0-2","2-2",9,5,13,4,2,3,0,0,4,"Y","Y","Y",5,0,-2,-2,"-2,-2",0
"2142","B1",2021-08-28,"Cercle Brugge","St Truiden",0,1,"A",0,1,"A",2.05,3.84,3.43,"0-1","0-1",24,6,7,2,1,2,0,1,1,"N","N","N",3,1,-1,-2,"-1,-2",1
"2158","B1",2021-09-17,"Cercle Brugge","Eupen",1,2,"A",1,1,"D",2.17,3.56,3.41,"1-1","1-2",12,3,14,8,2,3,0,0,3,"Y","Y","N",5,0,-1,-1,"-1,-1",0
"2159","B1",2021-09-18,"Oostende","Beerschot VA",3,1,"H",2,0,"H",1.75,3.99,4.43,"2-0","3-1",18,12,12,4,4,2,0,0,4,"Y","Y","Y",6,0,-2,-3,"-2,-3",1
"2166","B1",2021-09-19,"Kortrijk","Gent",1,0,"H",1,0,"H",4.04,4.09,1.8,"1-0","1-0",7,3,15,3,4,3,0,0,1,"N","N","N",7,0,-1,-1,"-1,-1",0
