Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR
E0,13/08/2021,Brentford,Arsenal,2,0,H,1,0,H,4.05,3.46,2.05,1-0,2-0,8,3,22,4,0,0,0,0
E0,14/08/2021,Man United,Leeds,5,1,H,1,0,H,1.56,4.57,5.96,1-0,5-1,16,8,10,3,1,2,0,0
E0,14/08/2021,Burnley,Brighton,1,2,A,1,0,H,3.3,3.12,2.51,1-0,1-2,14,3,14,8,2,1,0,0
E0,14/08/2021,Chelsea,Crystal Palace,3,0,H,2,0,H,1.26,6.24,12.74,2-0,3-0,13,6,4,1,0,0,0,0
E0,14/08/2021,Everton,Southampton,3,1,H,0,1,A,2.01,3.56,4.1,0-1,3-1,14,6,6,3,2,0,0,0
E0,14/08/2021,Leicester,Wolves,1,0,H,1,0,H,1.73,3.79,5.47,1-0,1-0,9,5,17,3,1,2,0,0
E0,14/08/2021,Watford,Aston Villa,3,2,H,2,0,H,3.18,3.31,2.47,2-0,3-2,13,7,11,2,3,1,0,0
E0,14/08/2021,Norwich,Liverpool,0,3,A,0,1,A,8.35,5.86,1.36,0-1,0-3,14,3,19,8,1,1,0,0
E0,15/08/2021,Newcastle,West Ham,2,4,A,2,1,H,3.21,3.59,2.32,2-1,2-4,17,3,8,9,1,0,0,0
E0,15/08/2021,Tottenham,Man City,1,0,H,0,0,D,5.56,4.09,1.67,0-0,1-0,13,3,18,4,2,1,0,0
E0,21/08/2021,Liverpool,Burnley,2,0,H,1,0,H,1.21,6.98,15.68,1-0,2-0,27,9,9,3,0,0,0,0
E0,21/08/2021,Aston Villa,Newcastle,2,0,H,1,0,H,1.83,3.99,4.4,1-0,2-0,10,2,9,1,3,4,0,0
E0,21/08/2021,Crystal Palace,Brentford,0,0,D,0,0,D,2.65,3.28,2.95,0-0,0-0,7,2,14,3,3,1,0,0
E0,21/08/2021,Leeds,Everton,2,2,D,1,1,D,2.39,3.51,3.14,1-1,2-2,17,4,17,8,2,4,0,0
E0,21/08/2021,Man City,Norwich,5,0,H,2,0,H,1.11,11.28,26.2,2-0,5-0,16,4,1,0,1,0,0,0
E0,21/08/2021,Brighton,Watford,2,0,H,2,0,H,1.75,3.55,5.8,2-0,2-0,13,3,10,1,4,0,0,0
E0,22/08/2021,Southampton,Man United,1,1,D,1,0,H,5.32,4.41,1.64,1-0,1-1,8,3,15,4,2,3,0,0
E0,22/08/2021,Wolves,Tottenham,0,1,A,0,1,A,3.25,3.15,2.52,0-1,0-1,25,6,8,6,1,4,0,0
E0,22/08/2021,Arsenal,Chelsea,0,2,A,0,2,A,4.9,3.83,1.79,0-2,0-2,6,3,22,5,3,0,0,0
E0,23/08/2021,West Ham,Leicester,4,1,H,1,0,H,2.61,3.51,2.82,1-0,4-1,13,7,5,1,0,1,0,1
E0,28/08/2021,Man City,Arsenal,5,0,H,3,0,H,1.26,6.28,12.59,3-0,5-0,25,10,1,0,1,2,0,1
E0,28/08/2021,Aston Villa,Brentford,1,1,D,1,1,D,2.02,3.63,3.95,1-1,1-1,7,5,9,2,3,3,0,0
E0,28/08/2021,Brighton,Everton,0,2,A,0,1,A,2.37,3.29,3.37,0-1,0-2,14,3,14,5,1,2,0,0
E0,28/08/2021,Newcastle,Southampton,2,2,D,0,0,D,2.55,3.52,2.9,0-0,2-2,10,5,22,6,3,3,0,0
E0,28/08/2021,Norwich,Leicester,1,2,A,1,1,D,4.47,3.54,1.93,1-1,1-2,14,4,9,3,2,1,0,0
E0,28/08/2021,West Ham,Crystal Palace,2,2,D,1,0,H,1.59,4.07,6.64,1-0,2-2,14,4,9,2,1,0,0,0
