"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6764","T1",2023-04-30,"Besiktas","Galatasaray",3,1,"H",1,1,"D",2.72,3.67,2.58,"1-1","3-1",13,6,7,1,6,2,0,0,4,1,12,13,4,5,25,"4-1","Y","Y","Y",8,0,4,80,1200,320,400,20,1600
"6775","T1",2023-05-08,"Galatasaray","Buyuksehyr",1,0,"H",1,0,"H",1.44,4.78,7.51,"1-0","1-0",19,5,8,5,2,1,0,0,10,4,10,5,1,14,15,"10-4","N","N","N",3,0,1,30,200,30,420,14,420
"6779","T1",2023-05-16,"Istanbulspor","Galatasaray",0,2,"A",0,1,"A",8.99,6.18,1.31,"0-1","0-2",9,1,20,5,3,1,0,1,3,9,12,10,2,12,22,"3-9","Y","N","N",4,1,2,65,1050,130,780,24,1560
"6787","T1",2023-05-20,"Galatasaray","Sivasspor",2,0,"H",1,0,"H",1.3,6.33,8.93,"1-0","2-0",11,3,4,2,1,1,0,0,6,3,13,12,2,9,25,"6-3","Y","N","N",2,0,2,20,100,40,180,18,360
"6796","T1",2023-05-30,"Ankaragucu","Galatasaray",1,4,"A",1,2,"A",5.78,5.1,1.51,"1-2","1-4",14,7,18,10,3,0,0,0,4,7,9,13,5,11,22,"4-7","Y","Y","Y",3,0,5,30,0,150,330,55,1650
"6812","T1",2023-06-04,"Galatasaray","Fenerbahce",3,0,"H",1,0,"H",2.07,3.74,3.58,"1-0","3-0",13,6,2,0,1,2,0,1,6,3,12,14,3,9,26,"6-3","Y","Y","N",3,1,3,55,450,165,495,27,1485
"6763","T1",2023-04-29,"Sivasspor","Fenerbahce",1,3,"A",0,3,"A",4.9,3.93,1.75,"0-3","1-3",10,3,7,4,0,4,0,1,3,1,9,19,4,4,28,"3-1","Y","Y","Y",4,1,4,65,0,260,260,16,1040
"6772","T1",2023-05-07,"Giresunspor","Fenerbahce",1,1,"D",0,1,"A",6.62,4.61,1.51,"0-1","1-1",7,5,11,4,5,2,0,0,3,11,14,14,2,14,28,"3-11","Y","N","N",7,0,2,70,1000,140,980,28,1960
"6785","T1",2023-05-18,"Fenerbahce","Trabzonspor",3,1,"H",1,0,"H",1.57,4.47,5.82,"1-0","3-1",13,9,9,6,0,2,0,0,9,3,10,14,4,12,24,"9-3","Y","Y","Y",2,0,4,20,0,80,240,48,960
"6793","T1",2023-05-21,"Hatayspor","Fenerbahce",0,3,"A",NA,NA,"",NA,NA,NA,"0-0","0-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"NA-NA","Y","Y","N",NA,NA,3,NA,NA,NA,NA,NA,NA
"6798","T1",2023-05-30,"Fenerbahce","Antalyaspor",2,0,"H",1,0,"H",1.36,5.74,8.04,"1-0","2-0",15,8,8,3,1,3,0,0,8,2,11,10,2,10,21,"8-2","Y","N","N",4,0,2,40,300,80,400,20,800
"68121","T1",2023-06-04,"Galatasaray","Fenerbahce",3,0,"H",1,0,"H",2.07,3.74,3.58,"1-0","3-0",13,6,2,0,1,2,0,1,6,3,12,14,3,9,26,"6-3","Y","Y","N",3,1,3,55,450,165,495,27,1485
"13","T1",2023-06-04,"Galatasaray","Fenerbahce",3,0,"H",1,0,"H",2.07,3.74,3.58,"1-0","3-0",13,6,2,0,1,2,0,1,6,3,12,14,3,9,26,"6-3","Y","Y","N",3,1,2.91666666666667,NA,NA,NA,NA,NA,NA
