"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"9","D1","2022-08-07","FC Koln","Schalke 04",3,1,"H",0,0,"D",1.75,4.28,4.58,"0-0","3-1",30,10,6,2,0,1,0,1,9,1,8,10,4,10,18,"9-1","Y","Y","Y",1,1,"FC Koln-Schalke 04",267,4,44,35,0,140,350,1540,40,176,440,2670,1400
"14","D1","2022-08-13","RB Leipzig","FC Koln",2,2,"D",1,1,"D",1.44,4.91,7.76,"1-1","2-2",9,5,12,3,1,4,1,0,2,7,8,18,4,9,26,"2-7","Y","Y","Y",5,1,"RB Leipzig-FC Koln",204,4,94,75,1400,300,675,7050,36,376,846,1836,2700
"26","D1","2022-08-21","Ein Frankfurt","FC Koln",1,1,"D",0,0,"D",2.06,3.84,3.61,"0-0","1-1",10,3,6,2,0,1,0,0,5,9,15,11,2,14,26,"5-9","Y","N","N",1,0,"Ein Frankfurt-FC Koln",153,2,44,10,0,20,140,440,28,88,616,2142,280
"35","D1","2022-08-28","FC Koln","Stuttgart",0,0,"D",0,0,"D",2.16,3.67,3.48,"0-0","0-0",6,2,13,5,2,2,0,1,6,8,14,12,0,14,26,"6-8","N","N","N",4,1,"FC Koln-Stuttgart",0,0,0,65,900,0,910,0,0,0,0,0,0
"42","D1","2022-09-03","Wolfsburg","FC Koln",2,4,"A",1,3,"A",2.16,3.58,3.57,"1-3","2-4",9,3,18,5,2,1,0,0,5,4,13,14,6,9,27,"5-4","Y","Y","Y",3,0,"Wolfsburg-FC Koln",260,6,67,30,200,180,270,2010,54,402,603,2340,1620
"53","D1","2022-09-11","FC Koln","Union Berlin",0,1,"A",0,1,"A",2.54,3.53,2.89,"0-1","0-1",7,2,12,3,4,1,1,0,7,8,15,12,1,15,27,"7-8","N","N","N",5,1,"FC Koln-Union Berlin",3,1,4,75,650,75,1125,300,15,4,60,45,1125
"62","D1","2022-09-18","Bochum","FC Koln",1,1,"D",1,0,"H",3.09,3.75,2.31,"1-0","1-1",7,0,18,3,0,1,0,0,4,8,12,8,2,12,20,"4-8","Y","N","N",1,0,"Bochum-FC Koln",97,2,39,10,0,20,120,390,24,78,468,1164,240
"66","D1","2022-10-01","FC Koln","Dortmund",3,2,"H",0,1,"A",3.36,3.93,2.12,"0-1","3-2",20,16,21,13,4,3,0,0,7,11,14,10,5,18,24,"7-11","Y","Y","Y",7,0,"FC Koln-Dortmund",290,5,60,70,1200,350,1260,4200,90,300,1080,5220,6300
"79","D1","2022-10-09","Mgladbach","FC Koln",5,2,"H",2,1,"H",2.02,4.05,3.57,"2-1","5-2",13,6,5,3,2,3,0,1,7,4,8,14,7,11,22,"7-4","Y","Y","Y",5,1,"Mgladbach-FC Koln",398,7,97,75,1100,525,825,7275,77,679,1067,4378,5775
"88","D1","2022-10-16","FC Koln","Augsburg",3,2,"H",0,1,"A",1.71,4.27,4.84,"0-1","3-2",14,6,7,3,2,4,0,0,5,3,11,15,5,8,26,"5-3","Y","Y","Y",6,0,"FC Koln-Augsburg",271,5,77,60,800,300,480,4620,40,385,616,2168,2400
"91","D1","2022-10-21","Mainz","FC Koln",5,0,"H",3,0,"H",2.19,3.59,3.47,"3-0","5-0",15,7,6,2,1,5,0,1,5,4,13,14,5,9,27,"5-4","Y","Y","Y",6,1,"Mainz-FC Koln",242,5,60,85,750,425,765,5100,45,300,540,2178,3825
"108","D1","2022-10-30","FC Koln","Hoffenheim",1,1,"D",1,1,"D",3.06,3.66,2.37,"1-1","1-1",11,3,9,4,1,2,0,1,5,4,11,10,2,9,21,"5-4","Y","N","N",3,1,"FC Koln-Hoffenheim",48,2,18,55,450,110,495,990,18,36,162,432,990
"117","D1","2022-11-06","Freiburg","FC Koln",2,0,"H",0,0,"D",1.72,4.06,5.1,"0-0","2-0",13,5,6,2,0,1,0,0,5,3,9,10,2,8,19,"5-3","Y","N","N",1,0,"Freiburg-FC Koln",117,2,67,10,0,20,80,670,16,134,536,936,160
