"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4106","P1",2023-01-29,"Casa Pia","Santa Clara",2,1,"H",0,0,"D",2.12,3.28,3.95,"0-0","2-1",19,8,6,3,5,4,0,0,8,3,12,20,3,11,32,"8-3","Y","Y","N",9,0,3,90,2000,270,990,33,2970
"4115","P1",2023-02-04,"Santa Clara","Boavista",2,2,"D",0,1,"A",2.82,3.08,2.87,"0-1","2-2",11,3,6,4,2,3,0,0,7,7,13,12,4,14,25,"7-7","Y","Y","Y",5,0,4,50,600,200,700,56,2800
"4126","P1",2023-02-11,"Arouca","Santa Clara",1,0,"H",0,0,"D",2.2,3.29,3.71,"0-0","1-0",9,4,4,0,2,4,0,0,3,3,18,11,1,6,29,"3-3","N","N","N",6,0,1,60,800,60,360,6,360
"4137","P1",2023-02-19,"Santa Clara","Famalicao",1,3,"A",0,0,"D",3.09,3.04,2.66,"0-0","1-3",16,7,17,7,2,3,1,1,3,6,22,19,4,9,41,"3-6","Y","Y","Y",5,2,4,100,2475,400,900,36,3600
"4144","P1",2023-02-25,"Maritimo","Santa Clara",3,1,"H",0,1,"A",2.19,3.3,3.71,"0-1","3-1",26,7,11,6,3,5,0,0,9,4,9,19,4,13,28,"9-4","Y","Y","Y",8,0,4,80,1500,320,1040,52,4160
"4157","P1",2023-03-05,"Santa Clara","Guimaraes",1,3,"A",0,3,"A",3.25,3.02,2.57,"0-3","1-3",16,5,11,6,3,2,0,0,7,6,16,9,4,13,25,"7-6","Y","Y","Y",5,0,4,50,600,200,650,52,2600
"4107","P1",2023-01-29,"Vizela","Rio Ave",3,1,"H",0,1,"A",1.95,3.54,4.26,"0-1","3-1",12,7,13,2,4,2,0,1,3,8,14,15,4,11,29,"3-8","Y","Y","Y",6,1,4,85,1800,340,935,44,3740
"4123","P1",2023-02-06,"Rio Ave","Sp Lisbon",0,1,"A",0,0,"D",7.41,4.48,1.47,"0-0","0-1",5,1,8,1,1,3,0,0,4,2,10,14,1,6,24,"4-2","N","N","N",4,0,1,40,300,40,240,6,240
"4131","P1",2023-02-13,"Rio Ave","Estoril",2,0,"H",0,0,"D",2.36,3.08,3.52,"0-0","2-0",10,3,16,3,4,2,0,0,2,9,26,15,2,11,41,"2-9","Y","N","N",6,0,2,60,800,120,660,22,1320
"4136","P1",2023-02-18,"Porto","Rio Ave",1,0,"H",1,0,"H",1.18,7.53,18.07,"1-0","1-0",14,4,11,4,2,3,0,0,8,2,19,17,1,10,36,"8-2","N","N","N",5,0,1,50,600,50,500,10,500
"4146","P1",2023-02-26,"Rio Ave","Chaves",1,0,"H",0,0,"D",2.22,3.29,3.66,"0-0","1-0",10,3,11,6,5,3,0,0,4,8,17,12,1,12,29,"4-8","N","N","N",8,0,1,80,1500,80,960,12,960
"4158","P1",2023-03-05,"Sp Braga","Rio Ave",2,0,"H",1,0,"H",1.41,4.54,9.58,"1-0","2-0",21,11,10,4,1,0,0,0,9,4,9,9,2,13,18,"9-4","Y","N","N",1,0,2,10,0,20,130,26,260
"13","P1",2023-03-05,"Sp Braga","Rio Ave",2,0,"H",1,0,"H",1.41,4.54,9.58,"1-0","2-0",21,11,10,4,1,0,0,0,9,4,9,9,2,13,18,"9-4","Y","N","N",1,0,2.58333333333333,62.9166666666667,1081.25,175,672.083333333333,29.5833333333333,1959.16666666667
