,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,goalmins,n,shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
1,E0,1/31/2024,Man City,Burnley,3,1,H,2,0,H,1.11,12.41,18.6,Feb-00,1-Mar,14,4,8,3,2,2,0,0,7,3,3,13,4,10,16,3-Jul,Y,Y,Y,4,0,Man City-Burnley,174,4,82,40,400,160,400,3280,40,328,820,1740,1600
2,E0,2/5/2024,Brentford,Man City,1,3,A,1,1,D,7.44,5.09,1.41,1-Jan,3-Jan,9,3,25,15,1,0,0,0,8,13,2,4,4,21,6,13-Aug,Y,Y,Y,1,0,Brentford-Man City,189,4,148,10,0,40,210,1480,84,592,3108,3969,840
3,E0,2/10/2024,Man City,Everton,2,0,H,0,0,D,1.19,7.68,13.24,0-0,Feb-00,19,3,5,1,0,2,0,0,9,0,6,11,2,9,17,Sep-00,Y,N,N,2,0,Man City-Everton,156,2,18,20,0,40,180,360,18,36,162,1404,360
4,E0,2/17/2024,Man City,Chelsea,1,1,D,0,1,A,1.34,5.71,8.37,0-1,1-Jan,31,5,9,6,1,3,0,0,12,1,7,12,2,13,19,1-Dec,Y,N,N,4,0,Man City-Chelsea,125,2,23,40,300,80,520,920,26,46,299,1625,1040
5,E0,2/20/2024,Man City,Brentford,1,0,H,0,0,D,1.17,8.67,15.04,0-0,Jan-00,25,11,6,2,2,4,0,0,10,1,12,6,1,11,18,1-Oct,N,N,N,6,0,Man City-Brentford,71,1,9,60,800,60,660,540,11,9,99,781,660
6,E0,2/24/2024,Bournemouth,Man City,0,1,A,0,1,A,7.2,5.14,1.42,0-1,0-1,13,4,15,6,2,2,0,0,3,8,14,6,1,11,20,8-Mar,N,N,N,4,0,Bournemouth-Man City,24,1,47,40,400,40,440,1880,11,47,517,264,440
7,E0,1/14/2024,Man United,Tottenham,2,2,D,2,1,H,2.22,3.97,3.01,1-Feb,2-Feb,9,2,16,6,2,1,0,0,8,13,8,5,4,21,13,13-Aug,Y,Y,Y,3,0,Man United-Tottenham,108,4,60,30,200,120,630,1800,84,240,1260,2268,2520
8,E0,2/1/2024,Wolves,Man United,3,4,A,0,2,A,2.7,3.51,2.64,0-2,4-Mar,16,7,21,8,2,5,0,0,4,5,10,10,7,9,20,5-Apr,Y,Y,Y,7,0,Wolves-Man United,438,7,148,70,1000,490,630,10360,63,1036,1332,3942,4410
9,E0,2/4/2024,Man United,West Ham,3,0,H,1,0,H,1.65,4.31,5.05,Jan-00,Mar-00,12,5,22,3,0,1,0,0,5,8,10,5,3,13,15,8-May,Y,Y,N,1,0,Man United-West Ham,156,3,45,10,0,30,130,450,39,135,585,2028,390
10,E0,2/11/2024,Aston Villa,Man United,1,2,A,0,1,A,2.16,3.91,3.18,0-1,2-Jan,23,10,17,5,3,2,0,0,10,8,9,7,3,18,16,8-Oct,Y,Y,N,5,0,Aston Villa-Man United,170,3,56,50,600,150,900,2800,54,168,1008,3060,2700
11,E0,2/18/2024,Luton,Man United,1,2,A,1,2,A,4.17,4.13,1.81,2-Jan,2-Jan,22,4,21,9,3,5,0,0,8,6,7,21,3,14,28,6-Aug,Y,Y,N,8,0,Luton-Man United,22,3,31,80,1500,240,1120,2480,42,93,434,308,3360
12,E0,2/24/2024,Man United,Fulham,1,2,A,0,0,D,1.61,4.48,5.21,0-0,2-Jan,21,9,17,5,2,5,0,0,10,9,6,11,3,19,17,9-Oct,Y,Y,N,7,0,Man United-Fulham,244,3,30,70,1000,210,1330,2100,57,90,570,4636,3990
13,E0,2/24/2024,Man United,Fulham,1,2,A,0,0,D,1.61,4.48,5.21,0-0,2-Jan,21,9,17,5,2,5,0,0,10,9,6,11,3,19,17,9-Oct,Y,Y,N,7,0,Man United-Fulham,156.4166667,3.083333333,58.08333333,43.33333333,516.6666667,138.3333333,595.8333333,2370.833333,44.08333333,235,849.5,2168.75,1859.166667
