"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"5","E0",2022-08-06,"Newcastle","Nottm Forest",2,0,"H",0,0,"D",1.71,3.74,5.83,"0-0","2-0",23,10,5,0,0,3,0,0,11,1,2,12,"Y","N","N",3,0,"Newcastle-Nottm Forest",136,2,0,30,0,60,360,0,24,0,0,1632,720
"18","E0",2022-08-14,"Nottm Forest","West Ham",1,0,"H",1,0,"H",4.28,3.72,1.92,"1-0","1-0",13,6,19,5,4,1,0,0,6,7,1,13,"N","N","N",5,0,"Nottm Forest-West Ham",45,1,0,50,400,50,650,0,13,0,0,585,650
"23","E0",2022-08-20,"Everton","Nottm Forest",1,1,"D",0,0,"D",2,3.45,4.27,"0-0","1-1",19,8,14,5,3,2,0,0,6,2,2,8,"Y","N","N",5,0,"Everton-Nottm Forest",169,2,0,50,600,100,400,0,16,0,0,1352,800
"40","E0",2022-08-28,"Nottm Forest","Tottenham",0,2,"A",0,1,"A",7.15,4.63,1.49,"0-1","0-2",17,1,18,7,6,1,0,0,6,1,2,7,"Y","N","N",7,0,"Nottm Forest-Tottenham",86,2,0,70,600,140,490,0,14,0,0,602,980
"47","E0",2022-08-31,"Man City","Nottm Forest",6,0,"H",3,0,"H",1.08,13.43,31.06,"3-0","6-0",17,9,8,1,0,1,0,0,10,1,6,11,"Y","Y","Y",1,0,"Man City-Nottm Forest",275,6,0,10,0,60,110,0,66,0,0,3025,660
"55","E0",2022-09-03,"Nottm Forest","Bournemouth",2,3,"A",2,0,"H",2.05,3.51,4,"2-0","2-3",11,3,8,3,2,1,0,0,4,6,5,10,"Y","Y","Y",3,0,"Nottm Forest-Bournemouth",279,5,0,30,200,150,300,0,50,0,0,2790,1500
"62","E0",2022-09-16,"Nottm Forest","Fulham",2,3,"A",1,0,"H",2.82,3.43,2.67,"1-0","2-3",11,3,15,7,2,4,0,0,2,10,5,12,"Y","Y","Y",6,0,"Nottm Forest-Fulham",259,5,0,60,800,300,720,0,60,0,0,3108,3600
"77","E0",2022-10-03,"Leicester","Nottm Forest",4,0,"H",3,0,"H",1.78,4.2,4.48,"3-0","4-0",17,7,10,3,2,4,0,0,6,6,4,12,"Y","Y","Y",6,0,"Leicester-Nottm Forest",160,4,47,60,800,240,720,2820,48,188,564,1920,2880
"87","E0",2022-10-10,"Nottm Forest","Aston Villa",1,1,"D",1,1,"D",3.4,3.6,2.22,"1-1","1-1",6,3,12,2,3,3,0,0,1,4,2,5,"Y","N","N",6,0,"Nottm Forest-Aston Villa",37,2,43,60,900,120,300,2580,10,86,215,185,600
"91","E0",2022-10-15,"Wolves","Nottm Forest",1,0,"H",0,0,"D",1.74,3.78,5.41,"0-0","1-0",9,2,10,2,2,2,0,0,4,5,1,9,"N","N","N",4,0,"Wolves-Nottm Forest",56,1,8,40,400,40,360,320,9,8,72,504,360
"98","E0",2022-10-18,"Brighton","Nottm Forest",0,0,"D",0,0,"D",1.39,5.17,8.97,"0-0","0-0",19,7,3,0,3,1,0,0,9,1,0,10,"N","N","N",4,0,"Brighton-Nottm Forest",0,0,0,40,300,0,400,0,0,0,0,0,0
"107","E0",2022-10-22,"Nottm Forest","Liverpool",1,0,"H",0,0,"D",11.14,5.8,1.3,"0-0","1-0",10,7,15,7,2,1,0,0,2,11,1,13,"N","N","N",3,0,"Nottm Forest-Liverpool",55,1,9,30,200,30,390,270,13,9,117,715,390
