"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"4393","N1",2024-01-27,"Excelsior","Utrecht",1,1,"D",0,0,"D",3.19,3.8,2.22,"0-0","1-1",9,5,16,3,0,0,0,0,5,8,3,5,2,13,8,"5-8","Y","N","N",0,0,2,0,0,0,0,26,0
"4406","N1",2024-02-04,"Utrecht","Volendam",4,2,"H",2,1,"H",1.35,5.5,8.96,"2-1","4-2",24,10,5,3,2,1,0,0,9,2,9,9,6,11,18,"9-2","Y","Y","Y",3,0,6,30,200,180,330,66,1980
"4414","N1",2024-02-11,"Utrecht","For Sittard",4,0,"H",1,0,"H",1.78,3.87,4.8,"1-0","4-0",16,8,9,1,0,0,0,0,3,6,12,11,4,9,23,"3-6","Y","Y","Y",0,0,4,0,0,0,0,36,0
"4422","N1",2024-02-18,"Twente","Utrecht",0,1,"A",0,1,"A",1.63,4.27,5.48,"0-1","0-1",13,2,4,2,0,1,0,0,11,0,5,12,1,11,17,"11-0","N","N","N",1,0,1,10,0,10,110,11,110
"4426","N1",2024-02-23,"Utrecht","Heracles",1,0,"H",0,0,"D",1.4,5.26,8,"0-0","1-0",11,3,4,0,3,2,0,0,9,3,14,10,1,12,24,"9-3","N","N","N",5,0,1,50,600,50,600,12,600
"4439","N1",2024-03-03,"Ajax","Utrecht",2,0,"H",1,0,"H",1.83,4.31,3.97,"1-0","2-0",14,8,6,2,1,2,1,0,1,3,11,12,2,4,23,"1-3","Y","N","N",3,1,2,55,700,110,220,8,440
"4394","N1",2024-01-27,"Heracles","Ajax",2,4,"A",1,1,"D",6.3,5.06,1.48,"1-1","2-4",13,7,31,12,2,1,0,0,3,11,9,5,6,14,14,"3-11","Y","Y","Y",3,0,6,30,200,180,420,84,2520
"4402","N1",2024-02-03,"Ajax","PSV Eindhoven",1,1,"D",1,1,"D",3.49,4.27,1.97,"1-1","1-1",13,4,18,5,1,3,0,0,3,5,8,14,2,8,22,"3-5","Y","N","N",4,0,2,40,300,80,320,16,640
"4413","N1",2024-02-11,"Heerenveen","Ajax",3,2,"H",2,0,"H",4.15,4.57,1.75,"2-0","3-2",17,5,12,6,4,0,0,0,7,4,12,8,5,11,20,"7-4","Y","Y","Y",4,0,5,40,0,200,440,55,2200
"4423","N1",2024-02-18,"Ajax","Nijmegen",2,2,"D",1,0,"H",1.44,5.34,6.6,"1-0","2-2",8,4,16,9,2,0,0,0,2,5,5,10,4,7,15,"2-5","Y","Y","Y",2,0,4,20,0,80,140,28,560
"4433","N1",2024-02-25,"AZ Alkmaar","Ajax",2,0,"H",1,0,"H",2,4.05,3.56,"1-0","2-0",8,3,9,3,2,0,0,0,2,1,7,15,2,3,22,"2-1","Y","N","N",2,0,2,20,0,40,60,6,120
"44391","N1",2024-03-03,"Ajax","Utrecht",2,0,"H",1,0,"H",1.83,4.31,3.97,"1-0","2-0",14,8,6,2,1,2,1,0,1,3,11,12,2,4,23,"1-3","Y","N","N",3,1,2,55,700,110,220,8,440
"13","N1",2024-03-03,"Ajax","Utrecht",2,0,"H",1,0,"H",1.83,4.31,3.97,"1-0","2-0",14,8,6,2,1,2,1,0,1,3,11,12,2,4,23,"1-3","Y","N","N",3,1,3.08333333333333,29.1666666666667,225,86.6666666666667,238.333333333333,29.6666666666667,800.833333333333
