"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","SP1",2022-08-12,"Osasuna","Sevilla",2,1,"H",1,1,"D",3.38,3.1,2.48,"1-1","2-1",12,5,10,3,5,3,0,0,5,2,3,7,"5-2","Y","Y","N",8,0,"Osasuna-Sevilla",94,3,50,80,1500,240,560,4000,21,150,350,658,1680
"13","SP1",2022-08-20,"Osasuna","Cadiz",2,0,"H",1,0,"H",1.97,3.27,4.76,"1-0","2-0",16,3,9,2,2,5,0,1,2,2,2,4,"2-2","Y","N","N",7,1,"Osasuna-Cadiz",116,2,27,95,1500,190,380,2565,8,54,108,464,760
"22","SP1",2022-08-26,"Betis","Osasuna",1,0,"H",1,0,"H",1.82,3.77,4.78,"1-0","1-0",7,1,12,2,0,3,1,0,2,4,1,6,"2-4","N","N","N",3,1,"Betis-Osasuna",34,1,9,55,750,55,330,495,6,9,54,204,330
"36","SP1",2022-09-04,"Osasuna","Vallecano",2,1,"H",0,0,"D",2.07,3.09,4.61,"0-0","2-1",13,6,5,3,2,2,0,0,4,0,3,4,"4-0","Y","Y","N",4,0,"Osasuna-Vallecano",219,3,55,40,400,120,160,2200,12,165,220,876,480
"50","SP1",2022-09-12,"Almeria","Osasuna",0,1,"A",0,1,"A",2.76,3.24,2.85,"0-1","0-1",7,2,15,4,0,2,0,0,5,10,1,15,"5-10","N","N","N",2,0,"Almeria-Osasuna",28,1,9,20,0,20,300,180,15,9,135,420,300
"56","SP1",2022-09-18,"Osasuna","Getafe",0,2,"A",0,1,"A",1.88,3.25,5.45,"0-1","0-2",12,4,10,4,7,3,1,1,8,1,2,9,"8-1","Y","N","N",10,2,"Osasuna-Getafe",106,2,25,150,5225,300,1350,3750,18,50,225,954,2700
"69","SP1",2022-10-02,"Real Madrid","Osasuna",1,1,"D",1,0,"H",1.35,5.63,9.33,"1-0","1-1",22,4,8,2,1,2,0,1,10,2,2,12,"10-2","Y","N","N",3,1,"Real Madrid-Osasuna",92,2,38,55,450,110,660,2090,24,76,456,1104,1320
"71","SP1",2022-10-07,"Osasuna","Valencia",1,2,"A",0,1,"A",2.46,3.27,3.22,"0-1","1-2",11,2,15,7,3,6,2,1,7,5,3,12,"7-5","Y","Y","N",9,3,"Osasuna-Valencia",172,3,0,165,6800,495,1980,0,36,0,0,2064,5940
"90","SP1",2022-10-17,"Villarreal","Osasuna",2,0,"H",1,0,"H",1.58,4.28,6.33,"1-0","2-0",12,9,14,3,2,6,0,0,8,4,2,12,"8-4","Y","N","N",8,0,"Villarreal-Osasuna",94,2,18,80,1200,160,960,1440,24,36,216,1128,1920
"99","SP1",2022-10-20,"Osasuna","Espanol",1,0,"H",0,0,"D",2.1,3.51,3.82,"0-0","1-0",17,5,5,3,1,2,0,0,9,2,1,11,"9-2","N","N","N",3,0,"Osasuna-Espanol",55,1,17,30,200,30,330,510,11,17,187,605,330
